iter	Passed	Remaining
938	21441	1392
939	21463	1370
940	21485	1347
941	21506	1324
942	21528	1301
943	21549	1278
944	21574	1255
945	21596	1232
946	21619	1209
947	21642	1187
948	21666	1164
949	21689	1141
950	21711	1118
951	21731	1095
952	21753	1072
953	21775	1049
954	21796	1027
955	21817	1004
956	21840	981
957	21863	958
958	21884	935
959	21905	912
960	21927	889
961	21949	867
962	21972	844
963	21994	821
964	22017	798
965	22038	775
966	22061	752
967	22086	730
968	22108	707
969	22128	684
970	22151	661
971	22173	638
972	22197	615
973	22218	593
974	22239	570
975	22260	547
976	22284	524
977	22307	501
978	22328	478
979	22350	456
980	22370	433
981	22393	410
982	22414	387
983	22437	364
984	22459	342
985	22482	319
986	22502	296
987	22523	273
988	22545	250
989	22569	227
990	22591	205
991	22614	182
992	22638	159
993	22659	136
994	22682	113
995	22707	91
996	22730	68
997	22752	45
998	22774	22
999	22797	0
